nb,bernie,bloomberg,climate,economy,immigration
bernie, ,1.165131155004988,1.3067729660121823,1.703996748408075,0.6797859368649233
bloomberg, , ,0.6234906073228844,2.2540294430110794,0.5711223250872666
climate, , , ,1.4171226831421009,5.5356354810238315
economy, , , , ,0.5528925619834713
immigration, , , , , 
